"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp2-R0"
"04/15/2020 15:18:04:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-symptomatiques","p-asymptomatiques","p-immuniser","p-mort","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"69","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","229","0.24034749034749034","0.9799196787148594","19.152610441767067","0.9799196787148594"
"74","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","121","0.14864864864864866","0.9675324675324676","19.51298701298701","0.9675324675324676"
"72","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","208","0.21428571428571427","0.9774774774774775","18.73873873873874","0.9774774774774775"
"71","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","447","0.638030888030888","0.9924357034795764","20.34190620272315","0.9924357034795764"
"75","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","193","0.22683397683397682","0.9787234042553191","18.897872340425533","0.9787234042553191"
"76","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","157","0.2702702702702703","0.9821428571428571","19.178571428571427","0.9821428571428571"
"77","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","222","0.5772200772200772","0.9916387959866221","19.65551839464883","0.9916387959866221"
"78","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","149","0.2731660231660232","0.9823321554770318","17.33922261484099","0.9823321554770318"
"73","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","347","0.16891891891891891","0.9714285714285714","18.81142857142857","0.9714285714285714"
"82","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","275","0.6003861003861004","0.9919614147909968","21.334405144694532","0.9919614147909968"
"83","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","124","0.07432432432432433","0.935064935064935","16.857142857142858","0.935064935064935"
"79","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","228","0.22683397683397682","0.9787234042553191","22.659574468085108","0.9787234042553191"
"85","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","126","0.14575289575289574","0.9668874172185431","20.543046357615893","0.9668874172185431"
"80","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","233","0.38706563706563707","0.9875311720698254","19.591022443890274","0.9875311720698254"
"81","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","219","0.21621621621621623","0.9776785714285714","20.799107142857142","0.9776785714285714"
"86","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","111","0.08301158301158301","0.9418604651162791","20.430232558139537","0.9418604651162791"
"84","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","372","0.4951737451737452","0.9902534113060428","20.886939571150098","0.9902534113060428"
"87","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","183","0.28474903474903474","0.9830508474576272","21.75593220338983","0.9830508474576272"
"92","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","184","0.3281853281853282","0.9852941176470589","21.185294117647057","0.9852941176470589"
"94","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","124","0.17953667953667954","0.9731182795698925","18.989247311827956","0.9731182795698925"
"91","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","223","0.1718146718146718","0.9719101123595506","20.219101123595507","0.9719101123595506"
"93","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","193","0.14864864864864866","0.9675324675324676","20.233766233766232","0.9675324675324676"
"88","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","285","0.3233590733590734","0.9850746268656716","19.307462686567163","0.9850746268656716"
"96","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","223","0.37934362934362936","0.9872773536895675","19.982188295165393","0.9872773536895675"
"90","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","319","0.25965250965250963","0.9814126394052045","19.052044609665426","0.9814126394052045"
"95","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","266","0.14575289575289574","0.9668874172185431","19.927152317880793","0.9668874172185431"
"89","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","399","0.2413127413127413","0.98","22.008","0.98"
"99","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","221","0.3252895752895753","0.9851632047477745","20.679525222551927","0.9851632047477745"
"97","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","269","0.3252895752895753","0.9851632047477745","20.29673590504451","0.9851632047477745"
"100","pop-sans-asymptomatique","0.04","4","true","1","1","0.05","0","0","0","0","1","269","0.44787644787644787","0.9892241379310345","20.674568965517242","0.9892241379310345"
