"BehaviorSpace results (NetLogo 6.0.4)"
"model-SASI.nlogo"
"exp1-R0"
"04/15/2020 14:49:09:942 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","scenarios","density","rayon","quarantaine","p-asymptomatiques","p-symptomatiques","p-immuniser","p-mort","p-sains","p-vacciner","vitesse-de-deplacement-groupe","[step]","(count turtles  - count turtles with [state = 0]) / count turtles","mean [statistique_nb_ticks_asymptomatique] of turtles with [state != 0]","mean [statistique_nb_ticks_symptomatique] of turtles with [state != 0]","mean [count out-link-neighbors] of turtles with [state = 3]"
"78","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","795","0.9942084942084942","9.70485436893204","103.30291262135923","0.9990291262135922"
"80","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","961","0.9893822393822393","9.935609756097561","101.55804878048781","1"
"81","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","953","0.9922779922779923","9.875486381322958","99.4114785992218","1"
"79","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","904","0.9942084942084942","10.344660194174757","98.71747572815534","0.9990291262135922"
"83","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","635","0.9913127413127413","9.414800389483934","97.46932814021422","1"
"84","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","781","0.9864864864864865","10.154598825831702","102.8013698630137","0.9990215264187867"
"82","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","780","0.9932432432432432","9.768707482993197","102.28085519922254","0.9990281827016521"
"86","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","836","0.9893822393822393","10.581463414634147","95.62439024390244","1"
"85","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1258","0.9913127413127413","9.715676728334957","101.4157740993184","0.9990262901655307"
"87","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1162","0.9932432432432432","10.588921282798834","100.17589893100097","1"
"92","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","734","0.9951737451737451","10.298739088263822","102.78564500484966","1"
"89","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","840","0.9961389961389961","9.258720930232558","97.35077519379846","0.999031007751938"
"88","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","950","0.9855212355212355","9.883447600391772","98.83153770812929","1"
"91","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","799","0.997104247104247","9.644724104549855","96.78702807357212","1"
"90","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","978","0.9951737451737451","10.37439379243453","99.94762366634336","1"
"93","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","771","0.9951737451737451","10.177497575169738","101.99127061105723","0.9990300678952473"
"94","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","814","0.9922779922779923","10.157587548638132","101.2091439688716","1"
"95","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","796","0.9864864864864865","9.83170254403131","101.07925636007828","1"
"97","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","790","0.9903474903474904","9.473684210526315","95.9307992202729","1"
"96","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","909","0.9932432432432432","9.784256559766764","97.82118561710398","0.9990281827016521"
"101","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","899","0.999034749034749","9.47536231884058","96.16328502415459","1"
"98","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","781","0.9961389961389961","10.148255813953488","101.48062015503876","1"
"100","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","974","0.9922779922779923","9.95817120622568","101.0885214007782","1"
"102","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","661","1","9.73938223938224","97.08397683397683","1"
"99","pop-asymptomatique","0.04","4","true","1","0.1","0.01","0","0","0","1","1139","0.9922779922779923","9.655642023346303","102.1828793774319","1"
"103","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","795","1","9.867760617760618","103.39382239382239","0.9980694980694981"
"105","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","769","1","10.121621621621621","99.72972972972973","1"
"106","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","751","1","9.75965250965251","96.47876447876448","1"
"104","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","930","1","10.083011583011583","100.03185328185329","0.999034749034749"
"107","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","824","1","9.982625482625483","100.49324324324324","0.997104247104247"
"109","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","801","1","9.1003861003861","100.4469111969112","1"
"108","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","758","0.997104247104247","9.948693126815101","106.22555663117134","0.9980638915779284"
"110","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","838","0.9980694980694981","9.994197292069632","100.13346228239845","1"
"111","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","604","1","9.803088803088803","92.96718146718146","1"
"114","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","878","1","9.562741312741313","101.03861003861005","0.999034749034749"
"112","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","1328","1","9.964285714285714","94.36969111969113","0.9980694980694981"
"115","pop-asymptomatique","0.04","4","false","1","0.1","0.01","0","0","0","1","1053","1","9.531853281853282","105.76833976833977","1"
